tier,rank,lp,points,pointdifference,matchid
GOLD,III,82,1382,0,0
GOLD,III,82,1382,0,EUW1_5271701053
GOLD,III,97,1397,15,EUW1_5274034568
GOLD,III,70,1370,-27,EUW1_5275614463
GOLD,III,85,1385,15,EUW1_5275643740
GOLD,II,17,1417,32,EUW1_5277454840
GOLD,II,33,1433,16,EUW1_5278548857
GOLD,II,18,1418,-15,EUW1_5278624706
GOLD,II,2,1402,-16,EUW1_5279020215
GOLD,II,11,1411,9,EUW1_5282098845
GOLD,II,26,1426,15,EUW1_5284045676
GOLD,II,12,1412,-14,EUW1_5284142203
GOLD,II,26,1426,14,EUW1_5284717841
GOLD,II,42,1442,16,EUW1_5287459040
GOLD,II,59,1459,17,EUW1_5287554500
GOLD,II,74,1474,15,EUW1_5289646660
GOLD,II,90,1490,16,EUW1_5289811995
GOLD,II,92,1492,2,EUW1_5290039657
GOLD,I,7,1507,15,EUW1_5290149507
GOLD,I,14,1514,7,EUW1_5290289702
GOLD,I,27,1527,13,EUW1_5291468447
GOLD,I,11,1511,-16,EUW1_5291544775
GOLD,I,26,1526,15,EUW1_5295303443
GOLD,I,12,1512,-14,EUW1_5295418580
GOLD,I,0,1500,-12,EUW1_5297138981
GOLD,I,15,1515,15,EUW1_5297244107
GOLD,I,30,1530,15,EUW1_5297380935
GOLD,I,49,1549,19,EUW1_5297368542
GOLD,I,79,1579,30,EUW1_5299031765
GOLD,I,100,1600,21,EUW1_5304152552
GOLD,I,100,1600,0,EUW1_5313794511
GOLD,I,100,1600,0,EUW1_5313941320
GOLD,I,100,1600,0,EUW1_5313794511
GOLD,I,100,1600,0,EUW1_5313941320
PLATINUM,IV,27,1627,27,EUW1_5318000418
PLATINUM,IV,46,1646,19,EUW1_5318104229
PLATINUM,IV,9,1609,-37,EUW1_5328798753
PLATINUM,IV,0,1600,-9,EUW1_5336094222
PLATINUM,IV,0,1600,0,EUW1_5338594622
PLATINUM,IV,12,1612,12,EUW1_5338701832
PLATINUM,IV,0,1600,-12,EUW1_5338717496
PLATINUM,IV,0,1600,0,EUW1_5338810386
PLATINUM,IV,14,1614,14,EUW1_5338847439
PLATINUM,IV,28,1628,14,EUW1_5340797079
PLATINUM,IV,79,1679,51,EUW1_5350553388
PLATINUM,IV,0,1600,-79,EUW1_5381301293
PLATINUM,IV,0,1600,0,EUW1_5381307775
PLATINUM,IV,0,1600,0,EUW1_5381314288
PLATINUM,IV,14,1614,14,EUW1_5381471441
PLATINUM,IV,27,1627,13,EUW1_5381426529
PLATINUM,IV,12,1612,-15,EUW1_5382354952
PLATINUM,IV,0,1600,-12,EUW1_5382379707
PLATINUM,IV,0,1600,0,EUW1_5382498896
PLATINUM,IV,13,1613,13,EUW1_5382623109
PLATINUM,IV,0,1600,-13,EUW1_5382598828
PLATINUM,IV,13,1613,13,EUW1_5383146985
PLATINUM,IV,26,1626,13,EUW1_5391952756
PLATINUM,IV,37,1637,11,EUW1_5391958575
PLATINUM,IV,50,1650,13,EUW1_5392073184
PLATINUM,IV,64,1664,14,EUW1_5392147128
PLATINUM,IV,77,1677,13,EUW1_5393848153
PLATINUM,IV,18,1618,-59,EUW1_5403714425
PLATINUM,IV,1,1601,-17,EUW1_5403719811
PLATINUM,IV,0,1600,-1,EUW1_5405056001
PLATINUM,IV,0,1600,0,EUW1_5405108068
PLATINUM,IV,15,1615,15,EUW1_5412818628
PLATINUM,IV,28,1628,13,EUW1_5412877531
PLATINUM,IV,42,1642,14,EUW1_5412943601
PLATINUM,IV,57,1657,15,EUW1_5413028094
PLATINUM,IV,7,1607,-50,EUW1_5441270715
