tier,rank,lp,points,pointdifference,matchid
DIAMOND,IV,0,2000,0,0
DIAMOND,IV,17,2017,17,EUW1_5276483261
DIAMOND,IV,34,2034,17,EUW1_5277021446
DIAMOND,IV,50,2050,16,EUW1_5278992518
DIAMOND,IV,46,2046,-4,EUW1_5280634617
DIAMOND,IV,61,2061,15,EUW1_5281837840
DIAMOND,IV,59,2059,-2,EUW1_5281946344
DIAMOND,IV,44,2044,-15,EUW1_5283899374
DIAMOND,IV,75,2075,31,EUW1_5287307747
DIAMOND,IV,90,2090,15,EUW1_5288167158
DIAMOND,IV,72,2072,-18,EUW1_5290789959
DIAMOND,IV,88,2088,16,EUW1_5290924273
DIAMOND,IV,71,2071,-17,EUW1_5290928371
DIAMOND,IV,55,2055,-16,EUW1_5291321520
DIAMOND,IV,71,2071,16,EUW1_5291365145
DIAMOND,IV,86,2086,15,EUW1_5291451270
DIAMOND,IV,69,2069,-17,EUW1_5292721851
DIAMOND,IV,52,2052,-17,EUW1_5292705936
DIAMOND,IV,68,2068,16,EUW1_5292810592
DIAMOND,IV,84,2084,16,EUW1_5292854212
DIAMOND,IV,68,2068,-16,EUW1_5292940605
DIAMOND,IV,54,2054,-14,EUW1_5292924368
DIAMOND,IV,37,2037,-17,EUW1_5292887583
DIAMOND,IV,55,2055,18,EUW1_5293043461
DIAMOND,IV,55,2055,0,EUW1_5294820973
DIAMOND,IV,71,2071,16,EUW1_5294777652
DIAMOND,IV,54,2054,-17,EUW1_5294862980
DIAMOND,IV,70,2070,16,EUW1_5294970621
DIAMOND,IV,86,2086,16,EUW1_5296418426
DIAMOND,III,2,2102,16,EUW1_5296555296
DIAMOND,III,0,2100,-2,EUW1_5296682403
DIAMOND,III,15,2115,15,EUW1_5296697697
DIAMOND,III,45,2145,30,EUW1_5297919010
DIAMOND,III,28,2128,-17,EUW1_5298043489
DIAMOND,III,12,2112,-16,EUW1_5298058343
DIAMOND,III,0,2100,-12,EUW1_5298114268
DIAMOND,III,14,2114,14,EUW1_5298127546
DIAMOND,III,29,2129,15,EUW1_5298222507
DIAMOND,III,0,2100,-29,EUW1_5299064493
DIAMOND,IV,90,2090,-10,EUW1_5299739700
DIAMOND,III,15,2115,25,EUW1_5303102486
DIAMOND,III,0,2100,-15,EUW1_5303687979
DIAMOND,III,15,2115,15,EUW1_5304014754
DIAMOND,III,0,2100,-15,EUW1_5304075702
DIAMOND,IV,58,2058,-42,EUW1_5313402637
DIAMOND,IV,25,2025,-33,EUW1_5313408915
DIAMOND,IV,41,2041,16,EUW1_5313522674
DIAMOND,IV,57,2057,16,EUW1_5313475549
DIAMOND,IV,72,2072,15,EUW1_5313559605
DIAMOND,IV,57,2057,-15,EUW1_5313679594
DIAMOND,IV,73,2073,16,EUW1_5316861276
DIAMOND,IV,89,2089,16,EUW1_5316857116
